year,latitude,longitude,notes,external
1725,51.39262494867464,-0.5045436671898346,Retake the photo,1242226
1755,51.432146993220606,-0.5156283759512514,,1028944
1880,51.433119880224666,-0.5141677816989878,,1187053
1887,51.336304667692424,-0.32047797040111015,,
1888,51.40659015798892,-0.405067201682028,,1377701
1898,51.33156255769363,-0.36338346373983077,,
1904,51.37301145270482,-0.3599360081707331,,
1905,51.42727399915832,-0.526913233115936,,
1906,51.339981382314726,-0.2699920967406661,,
1908,51.39104368936547,-0.5001259849904044,,
1923,51.42453806745877,-0.4194991883180949,,
1927,51.38569646416286,-0.4192534115228975,,
1996,51.38880892438484,-0.48780196732587594,,
1999,51.33331970197817,-0.26813525094536617,,
2001,51.43395287857267,-0.5119709964329753,,
2006,51.38127884604159,-0.33956840765210405,,
