year,latitude,longitude,notes,external
1537,52.060608576817415,-1.3377319989857461,TODO,1199633
1582,51.806950807120295,-1.6368248434842494,TODO,1224146
1587,51.87462679019858,-1.4846783761227722,TODO,1053218
1610,51.645101759970224,-1.1666801597252294,TODO,1047840
1645,51.658281136216,-1.5840588203940438,TODO,1368527
1654,51.74851702700113,-1.4062517320836578,TODO,1367879
1671,51.82933974804167,-1.2793294644199555,,1220274
1676,51.89660699479617,-1.1552921728506318,,1283135
1681,51.89666945642508,-1.1553930756440822,,1369763
1682,51.8965471292205,-1.1552008844661656,,1046487
1708,51.58314472478802,-1.480300907942031,TODO,1048747
1737,51.8511885059823,-1.3605660240345467,,1052838
1740,51.84224058831118,-1.4802249387745492,,1053125
1751,51.89664265844956,-1.1513516881845516,,1369753
1778,51.82911767469155,-1.280395481866526,,1220320
1780,51.74753510969564,-1.1399540486229895,,1047446
1783,51.81793460535997,-1.4412674167245114,,1367955
1794,51.854590062173294,-1.2719585228536239,,1220081
1813,51.825662094621784,-1.3830064362287582,,
1869,51.850039981608894,-1.3598544020228545,,
1879,51.76047232013679,-1.2604351197255856,,1369320
1885,51.751309209958,-1.252814358688996,,1046717
1887,51.75753435404304,-1.2128445762960927,,
1888,51.745191039187766,-1.2563579238530531,,
1889,51.782490027754164,-1.2671132821778963,,
1891,51.75398820849766,-1.2593188211831787,,
1894,51.763446678492414,-1.260304583458615,,1392911
1897,51.743864207976465,-1.2561041729940745,,1369317
1901,51.77478671549353,-1.2636447353009443,,
1903,51.758693513622774,-1.2129416709488643,,
1905,51.74853381144831,-1.2250697365729775,,
1907,51.75747752300436,-1.2562772769221944,,1369433
1908,51.75346961328609,-1.2627471193715734,,
1910,51.74825881066575,-1.2257609375514278,,
1927,51.75768724207713,-1.209356882022368,,
1929,51.75344818939161,-1.262513516110906,,
1935,51.764571283496444,-1.2349447197136567,,
1938,51.75281085719076,-1.2580670835942647,,
1939,51.75517371152019,-1.2547228287670449,,1390596
1946,51.80806901072555,-1.6390568265814398,TODO,1225266
1982,51.753571532323136,-1.2610141024671608,,
1994,51.775054216331,-1.2642172936081992,,
1995,51.75897760778543,-1.2130364185368572,,
2000,51.745868607480354,-1.2561231258197583,,
2006,51.832370231243566,-1.3497825579090015,,
2012,51.785657912520286,-1.2698493164126066,,
